Entidad,Quintil,Año,Hombres,Mujeres,%_Hombres_quintil,%_Mujeres_quintil,%_hombres_sexo,%_mujeres_sexo,,,,,,,,,,
Nuevo Leon,IV,2018,424631,246192,27.9,27.5,63.3,36.7,,,,,,,,,,
Oaxaca,IV,2018,130189,59421,12.5,7.9,68.7,31.3,,,,,,,,,,
Puebla,IV,2018,374738,130387,22.4,11.2,74.2,25.8,,,,,,,,,,
Queretaro de Arteaga,IV,2018,175665,76564,31.5,19.2,69.6,30.4,,,,,,,,,,
Quintana Roo,IV,2018,143113,77777,27.2,23.5,64.8,35.2,,,,,,,,,,
San Luis Potosi,IV,2018,148283,85086,19.8,18.2,63.5,36.5,,,,,,,,,,
Sinaloa,IV,2018,219131,98181,26.8,19.5,69.1,30.9,,,,,,,,,,
Sonora,IV,2018,213271,105730,25.1,19.2,66.9,33.1,,,,,,,,,,
Tabasco,IV,2018,117708,52377,18.0,12.1,69.2,30.8,,,,,,,,,,
Tamaulipas,IV,2018,220603,115069,23.3,19.3,65.7,34.3,,,,,,,,,,
Tlaxcala,IV,2018,89887,33094,24.1,12.7,73.1,26.9,,,,,,,,,,
Veracruz-Llave,IV,2018,323286,102571,14.7,6.9,75.9,24.1,,,,,,,,,,
Yucatan,IV,2018,168034,56489,25.1,12.1,74.8,25.2,,,,,,,,,,
Zacatecas,IV,2018,86135,28059,20.4,12.7,75.4,24.6,,,,,,,,,,
Nacional,V,2018,8912608,4069428,26.4,18.0,68.65,31.35,,,,,,,,,,
Aguascalientes,V,2018,124461,51720,33.9,20.6,70.6,29.4,,,,,,,,,,
Baja California,V,2018,427527,172744,42.1,26.7,71.2,28.8,,,,,,,,,,
Baja California Sur,V,2018,125982,47238,49.4,31.8,72.7,27.3,,,,,,,,,,
